dataset,model,horizon_len,origin,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,total_variation_ratio,total_variation_ratio_error,high_frequency_energy_ratio,high_frequency_energy_ratio_error,target_col,input_mode,protocol,fig_path,experiment,lookback_seq_len
Weather,PatchTST_L720,720,44223,0.0036559231054527582,0.04638100750265335,0.027605590696636456,0.020247135458061782,0.21635682914037377,1.5308262013462401,0.09253556942248066,2.3801620660144875,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,iTransformer_L720,720,44223,0.003266926560979443,0.04392309496588632,0.0404081519559616,0.0002183804781977203,0.05034492471439609,2.9888572663798034,0.007854530935711953,4.846663451285114,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,DLinear_L336,720,46383,0.0006757063669259929,0.01971719089375416,0.009639857775122943,0.0013720957274056867,1.922887464005416,0.6538279490367052,0.33182831889077097,1.103137525452774,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,PatchTST_L336,720,46383,0.00047966909046144596,0.01657361024089282,0.007378104600931134,0.013354393087366185,0.34072023544219526,1.076693533004104,0.4088455406407469,0.8944178210535286,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,iTransformer_L336,720,46383,0.0005155077849223896,0.018231737889492332,0.013632489187212122,0.002395152746618386,0.5763236288872324,0.5510859030097031,0.07834060084974964,2.546689153356551,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,DLinear_L720,720,46383,0.0003545089170590328,0.015316758769312185,0.004798505561526632,0.012511522788154077,3.1063417329408427,1.133445745377428,0.639476127040495,0.4471059736860537,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,PatchTST_L720,720,46383,0.0002553406924975507,0.012789775074182773,0.005376342751600406,0.0055775754443606025,0.7568308715786602,0.27861545660835757,0.7200578090493069,0.32842376596109996,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,iTransformer_L720,720,46383,0.0006486670015723871,0.022246519099264197,0.01922467858043917,0.0015137415824915826,0.4876250478036346,0.7182084926141605,0.0663991514812583,2.7120708508737894,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,DLinear_L336,720,49263,0.0010705173086869074,0.024590730314964893,0.01028406544320746,0.03699965243303146,3.522354472346543,1.2591296530350495,0.6482414495537071,0.4334920292684183,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,PatchTST_L336,720,49263,0.001281011867757257,0.0267872307491671,0.010848700876906927,0.014325852545253587,0.7457115858360429,0.2934163542836891,0.5976776783138317,0.514703653087712,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,iTransformer_L336,720,49263,0.0012499504521633973,0.02981782005297504,0.017227501068726753,0.01172438633294753,1.6248924285406483,0.4854416219236423,0.2708354224018778,1.306243903069455,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,DLinear_L720,720,49263,0.001598753783150733,0.03014121858156357,0.01311237234842758,0.020885635333268242,2.1436232557856734,0.762497512183723,0.387112087322312,0.9490409707312955,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,PatchTST_L720,720,49263,0.0022958760225674016,0.037912027821620224,0.01565127142502611,0.015008698629776853,1.0000125164926597,1.2526414203738501e-05,0.4750429262052066,0.7443500870216462,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,iTransformer_L720,720,49263,0.001031343967479405,0.023646190122480554,0.015803609210004416,0.0014086876386477623,0.5423987729540627,0.6117537861747246,0.09115997292669192,2.395139261894141,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,DLinear_L336,720,51423,0.0004075228860039243,0.017555206836690873,0.004819057821423527,0.016588366368586585,4.283456578501184,1.4547602977846799,1.0166025530167013,0.0164662471928433,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,PatchTST_L336,720,51423,0.00065069153690893,0.023356821551498857,0.006992592181756967,0.017791909590663884,0.7669302845028177,0.26535936244514985,0.8822665615928966,0.1252610332731574,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,iTransformer_L336,720,51423,0.0009494188796883188,0.028712348920670788,0.025753571886278064,7.25138791831664e-05,1.5011487204281773,0.40623063530288805,0.29861358566065693,1.2086048635650848,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,DLinear_L720,720,51423,0.0005158314715143673,0.019738448036414006,0.007915284002993303,0.009076737627365355,3.214549147990649,1.1676871170602596,0.9855014908221993,0.014604629486209915,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,PatchTST_L720,720,51423,0.0007845879970585575,0.02485989385355148,0.009212623003776038,0.03465333483579839,0.7370978365109235,0.3050346323609303,1.306531877596596,0.2673762125667152,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,iTransformer_L720,720,51423,0.0011453777087556708,0.031716287962702684,0.02880839418302239,0.0005409274161921345,1.0580799476687102,0.05645590493656856,0.20230865886868055,1.5979606841759677,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
